iter	Logloss
0	0.6931069374
1	0.6930688858
2	0.6930307388
3	0.6929915905
4	0.6929510117
5	0.6929078102
6	0.6928730011
7	0.6928328991
8	0.6927911758
9	0.6927520752
10	0.692711401
11	0.6926712513
12	0.6926328659
13	0.6925918579
14	0.6925495148
15	0.6925095558
16	0.6924686909
17	0.6924334526
18	0.6923943996
19	0.6923540592
20	0.692310524
21	0.6922733307
22	0.6922312737
23	0.6921957493
24	0.6921545506
25	0.6921158791
26	0.6920767784
27	0.6920393467
28	0.6920000076
29	0.6919648647
30	0.6919248581
31	0.691884613
32	0.6918438435
33	0.6918074608
34	0.6917650223
35	0.6917246342
36	0.6916910172
37	0.6916521072
38	0.69161129
39	0.691570282
40	0.6915296555
41	0.69149189
42	0.6914536476
43	0.6914126396
44	0.6913740158
45	0.6913347721
46	0.6912971497
47	0.6912593842
48	0.6912240505
49	0.6911875725
50	0.6911533833
51	0.691108036
52	0.6910716057
53	0.6910347939
54	0.6909924984
55	0.6909522533
56	0.6909143925
57	0.6908773422
58	0.6908385277
59	0.6907976151
60	0.6907613754
61	0.6907249451
62	0.6906861305
63	0.6906438828
64	0.6906059265
65	0.690564394
66	0.6905235291
67	0.6904849052
68	0.6904481411
69	0.6904109478
70	0.6903693199
71	0.6903299332
72	0.6902947426
73	0.6902517319
74	0.6902119637
75	0.690177536
76	0.6901420593
77	0.6901010036
78	0.6900622368
79	0.6900246143
80	0.6899827957
81	0.6899450302
82	0.6899071693
83	0.6898673058
84	0.6898277283
85	0.6897865295
86	0.6897460937
87	0.6897117615
88	0.6896782875
89	0.6896380424
90	0.6895974159
91	0.6895615578
92	0.6895208359
93	0.6894837856
94	0.6894492149
95	0.6894077301
96	0.689370966
97	0.689329052
98	0.689289856
99	0.6892531395
100	0.689216423
101	0.6891773701
102	0.6891392708
103	0.6890991688
104	0.6890586853
105	0.6890208721
106	0.6889793396
107	0.6889369965
108	0.6888973713
109	0.6888589859
110	0.6888176918
111	0.688779068
112	0.6887381077
113	0.6887000084
114	0.6886604309
115	0.688625145
116	0.6885848045
117	0.6885482311
118	0.6885106564
119	0.6884716988
120	0.6884305954
121	0.688394928
122	0.6883547783
123	0.6883230209
124	0.6882802963
125	0.6882442951
126	0.6882053375
127	0.6881649971
128	0.6881239891
129	0.688086319
130	0.6880492687
131	0.6880116463
132	0.687979126
133	0.6879374504
134	0.6879021645
135	0.6878629684
136	0.6878223419
137	0.687782383
138	0.6877437592
139	0.6877063274
140	0.6876697063
141	0.6876267433
142	0.6875915527
143	0.6875484467
144	0.6875097275
145	0.6874744892
146	0.6874358177
147	0.6874006748
148	0.6873625755
149	0.687328434
150	0.6872912407
151	0.6872499466
152	0.6872108459
153	0.6871716022
154	0.687130928
155	0.6870927811
156	0.6870584965
157	0.6870198727
158	0.6869827271
159	0.6869473934
160	0.6869120121
161	0.6868729591
162	0.68683424
163	0.6868010521
164	0.6867650986
165	0.6867297173
166	0.6866938591
167	0.6866601944
168	0.6866250515
169	0.6865819931
170	0.6865493774
171	0.6865136147
172	0.6864782333
