iter	RMSE
0	0.458262435
1	0.452681951
2	0.4461928926
3	0.4397865815
4	0.4345212227
5	0.429058447
6	0.4237233911
7	0.4200352571
8	0.4154781445
9	0.4112882957
10	0.4072734522
11	0.4027039015
12	0.3990072636
13	0.3949957807
14	0.3915019552
15	0.3879805201
16	0.3850579611
17	0.3832086826
18	0.381638631
19	0.3789977973
20	0.3760247064
21	0.3734140399
22	0.3720915442
23	0.3704336283
24	0.3673089276
25	0.3651482382
26	0.3633821516
27	0.3610429578
28	0.3597795269
29	0.3573856717
30	0.355270764
31	0.3529191156
32	0.3518640226
33	0.3502383301
34	0.3478586548
35	0.3464044799
36	0.3460459291
37	0.3450275365
38	0.3437949171
39	0.3416485636
40	0.3393199701
41	0.3378960057
42	0.336883688
43	0.3359449264
44	0.3347407549
45	0.3339825133
46	0.3325653936
47	0.3318943992
48	0.3302434826
49	0.328496907
